Return ID ,Merchant ,
00340434519206271898,Viva Maia,BER3
(Y)#LZ14867,LEZU,BER3
00340433921390088496,thebettercat,BER3
00340434785465606843,Dr. Emi,BER3
(Y)#13050,maxsquare GmbH,BER3
(Y)B2C000094,Lybbie,BER3
(Y)56996,Health and You ,BER3
00340434524960936341,Calisi Beauty,BER3
(Y)#434777,Lotuscrafts GmbH,BER3
(Y)NU745700,Nutrientify,BER3
00340434524960850388,Calisi Beauty,BER3
00340433921390143416,thebettercat,BER3
00340434519206205923,Purish Marketplaces,BER3
00340434524960913328,EH,BER3
00340434519206261868,Purish Marketplaces,BER3
00340434524960974244,Glücks Krone,BER3
00340434524960885717,Glücks Krone,BER3
00340434524960899233,Neurobites,BER3
00340434524960900854,Ingarden,BER3
00340433921390146479,thebettercat,BER3
00340434695214851458,Patronus,BER3
00340434524960880392,Hatwebtrade,BER3
00340434757705280298,Ingarden,BER3
(Y)ADE2354672,AVA & MAY,BER3
(Y)ADE2357857,AVA & MAY,BER3
00340433921390068528,thebettercat,BER3
(Y)#CL465749DL,MagicHolz,BER3
(Y)ADE2353884,AVA & MAY,BER3
(Y)#214246353,Dr. Emi,BER3
00340434519206281927,Embelly,BER3
(Y)#LZ15138,LEZU,BER3
(Y)#LZ14867,LEZU,BER3
(Y)#LZ15098,LEZU,BER3
(Y)#443601,ela mo,BER3
(Y)#443540,ela mo,BER3
(Y)#444629,ela mo,BER3
(Y)#444195,ela mo,BER3
00340434524960861865,SHYNE,BER3
00340434519942296865,Biotulin,BER3
(Y)530134381,Into Life,BER3
(Y)#444744,ela mo,BER3
(Y)DE54107,Ingarden,BER3
(Y)#152206,thebettercat,BER3
00340434519206210330,Embelly,BER3
(Y)#DAYONE-65414,DayOne,BER3
(Y)#DAYONE-65662,DayOne,BER3
(Y)#DAYONE-65289,DayOne,BER3
(Y)#DAYONE-65859,DayOne,BER3
(Y)#DAYONE-65324,DayOne,BER3
(Y)#DAYONE-65397,DayOne,BER3
(Y)DOU14579,Purish Marketplaces,BER3
(Y)#DAYONE-64286,DayOne,BER3
(Y)ADE2355099,AVA & MAY,BER3
(Y)#DAYONE-65689,DayOne,BER3
00340434666652184804,Matchday Nutrition,BER3
(Y)#445222,ela mo,BER3
(Y)#445399,ela mo,BER3
(Y)#445653,ela mo,BER3
(Y)#LZ15076,LEZU,BER3
(Y)#DAYONE-65600,DayOne,BER3
(Y)SA7888,Samthus ,BER3
(Y)#1978,Skinny Dip,BER3
00340434168072862541,Harvest Republic GmbH,BER3
(Y)#BTZ46027,Buttz,BER3
(Y)#6699,Phiala,BER3
(Y)#VM-191997,Viva Maia,BER3
00340434695214856897,Patronus,BER3
00340433921390152067,thebettercat,BER3
LE285193786DE,Biotulin,BER3
00340434524960987633,Flavona,BER3
(Y)530134856,Into Life,BER3
(Y)S-56370,Shavent,BER3
